iso,name,claudio,ceci,juntos
DEU,Alemania,1,1,1
AND,Andorra,1,1,0
AUT,Austria,1,1,1
BEL,Bélgica,1,1,1
BOL,Bolivia,0,1,0
BIH,Bosnia Herzegovina,0,1,0
CAN,Canadá,0,1,0
CHN,China,1,1,1
CRI,Costa Rica,0,1,0
HRV,Croacia,0,1,0
CUB,Cuba,0,1,0
DNK,Dinamarca,1,1,0
SVK,Eslovaquia,1,1,1
SVN,Eslovenia,0,1,0
ESP,España,1,1,1
USA,Estados Unidos,1,1,0
FIN,Finlandia,1,0,0
FRA,Francia,1,1,1
HUN,Hungría,1,1,1
ISL,Islandia,0,1,0
ITA,Italia,1,1,1
JOR,Jordania,0,1,0
LVA,Letonia,1,1,1
LIE,Liechtenstein,0,1,0
LUX,Luxemburgo,0,1,0
MLT,Malta,0,1,0
MCO,Mónaco,1,1,0
MNG,Mongolia,1,1,1
MNE,Montenegro,1,1,0
NOR,Noruega,0,1,0
NLD,Países Bajos,1,1,1
POL,Polonia,1,1,1
PRT,Portugal,1,1,0
GBR,Reino Unido,1,1,0
CZE,República Checa,1,1,1
DOM,República Dominicana,1,0,0
RUS,Rusia,1,1,1
SWE,Suecia,1,0,0
CHE,Suiza,0,1,0
TUR,Turquía,1,1,1
VAT,Vaticano,1,1,0